datetime,charging_mw,discharging_mw,net_output_mw
2024-01-09 09:00:00+00:00,-3725.1549999999997,707.531,-3017.623
2024-01-09 10:00:00+00:00,-4191.509,809.622,-3381.886
2024-01-09 11:00:00+00:00,-1601.8809999999999,961.826,-640.056
2024-01-09 12:00:00+00:00,-855.806,3883.314,3027.509
2024-01-09 13:00:00+00:00,-733.133,3066.27,2333.135
2024-01-09 14:00:00+00:00,-3360.05,949.129,-2410.922
2024-01-09 15:00:00+00:00,-2602.724,1980.905,-621.819
2024-01-09 16:00:00+00:00,-5423.178,1444.481,-3978.698
2024-01-09 17:00:00+00:00,-4327.35,780.432,-3546.917
2024-01-09 18:00:00+00:00,-2695.217,456.568,-2238.65
2024-01-09 19:00:00+00:00,-4637.711,962.5949999999999,-3675.115
2024-01-09 20:00:00+00:00,-1882.316,923.254,-959.0609999999999
2024-01-09 21:00:00+00:00,-2268.737,874.9110000000001,-1393.826
2024-01-09 22:00:00+00:00,-920.485,2743.984,1823.498
2024-01-09 23:00:00+00:00,-668.72,9509.398,8840.677
2024-01-10 00:00:00+00:00,-681.25,8697.169,8015.919
2024-01-10 01:00:00+00:00,-1735.098,3902.177,2167.081
2024-01-10 02:00:00+00:00,-2047.105,1288.147,-758.956
2024-01-10 03:00:00+00:00,-3162.885,214.766,-2948.118
2024-01-10 04:00:00+00:00,-2953.4919999999997,281.851,-2671.64
2024-01-10 05:00:00+00:00,-2163.955,243.562,-1920.392
2024-01-10 06:00:00+00:00,-3028.088,918.215,-2109.874
2024-01-10 07:00:00+00:00,-2185.043,599.073,-1585.971
2024-01-10 08:00:00+00:00,-1436.795,335.60200000000003,-1101.194
2024-01-10 09:00:00+00:00,-2651.457,745.311,-1906.145
2024-01-10 10:00:00+00:00,-1727.267,611.505,-1115.765
2024-01-10 11:00:00+00:00,-1222.963,1533.95,310.985
2024-01-10 12:00:00+00:00,-887.933,3279.1620000000003,2391.2309999999998
2024-01-10 13:00:00+00:00,-1197.612,3293.582,2095.975
2024-01-10 14:00:00+00:00,-3606.734,1920.687,-1686.049
2024-01-10 15:00:00+00:00,-2645.033,1906.611,-738.421
2024-01-10 16:00:00+00:00,-3689.911,1851.954,-1837.959
2024-01-10 17:00:00+00:00,-4531.121,498.765,-4032.3559999999998
2024-01-10 18:00:00+00:00,-5858.489,874.513,-4983.975
2024-01-10 19:00:00+00:00,-3553.616,1384.924,-2168.6929999999998
2024-01-10 20:00:00+00:00,-2330.406,1499.579,-830.826
2024-01-10 21:00:00+00:00,-2445.399,729.167,-1716.233
2024-01-10 22:00:00+00:00,-1013.935,2043.693,1029.757
2024-01-10 23:00:00+00:00,-813.876,3944.5299999999997,3130.653
2024-01-11 00:00:00+00:00,-509.501,3240.375,2730.873
2024-01-11 01:00:00+00:00,-777.739,1866.146,1088.408
2024-01-11 02:00:00+00:00,-663.116,1758.481,1095.367
2024-01-11 03:00:00+00:00,-1154.257,614.707,-539.548
2024-01-11 04:00:00+00:00,-1025.085,834.318,-190.766
2024-01-11 05:00:00+00:00,-1650.661,2809.4500000000003,1158.789
2024-01-11 06:00:00+00:00,-1945.074,3091.5,1146.429
2024-01-11 07:00:00+00:00,-1722.213,2686.497,964.2850000000001
2024-01-11 08:00:00+00:00,-1200.87,1514.221,313.349
2024-01-11 09:00:00+00:00,-3326.8340000000003,635.433,-2691.403
2024-01-11 10:00:00+00:00,-2235.206,625.682,-1609.525
2024-01-11 11:00:00+00:00,-1179.248,1912.865,733.62
2024-01-11 12:00:00+00:00,-1366.534,1739.374,372.8409999999999
2024-01-11 13:00:00+00:00,-905.776,4412.078,3506.301
2024-01-11 14:00:00+00:00,-2397.276,2448.816,51.53900000000004
2024-01-11 15:00:00+00:00,-2576.519,1630.427,-946.0910000000001
2024-01-11 16:00:00+00:00,-3421.031,1140.126,-2280.906
2024-01-11 17:00:00+00:00,-4700.5199999999995,1343.942,-3356.575
2024-01-11 18:00:00+00:00,-3130.92,2658.969,-471.948
2024-01-11 19:00:00+00:00,-3864.136,507.795,-3356.339
2024-01-11 20:00:00+00:00,-6477.592000000001,1110.0,-5367.596
2024-01-11 21:00:00+00:00,-3663.813,710.088,-2953.726
2024-01-11 22:00:00+00:00,-2255.207,1992.731,-262.47299999999996
2024-01-11 23:00:00+00:00,-1164.99,3116.881,1951.89
2024-01-12 00:00:00+00:00,-2018.5130000000001,3436.966,1418.453
2024-01-12 01:00:00+00:00,-1538.437,1856.895,318.459
2024-01-12 02:00:00+00:00,-846.7470000000001,2771.063,1924.32
2024-01-12 03:00:00+00:00,-1043.225,2161.404,1118.18
2024-01-12 04:00:00+00:00,-3759.264,2044.562,-1714.705
2024-01-12 05:00:00+00:00,-4615.587,1765.641,-2849.944
2024-01-12 06:00:00+00:00,-2546.879,1794.695,-752.186
2024-01-12 07:00:00+00:00,-2101.695,2432.928,331.23199999999997
2024-01-12 08:00:00+00:00,-1377.82,1789.8129999999999,411.99199999999996
2024-01-12 09:00:00+00:00,-1134.006,1374.858,240.85100000000003
2024-01-12 10:00:00+00:00,-1015.667,2764.879,1749.214
2024-01-12 11:00:00+00:00,-1596.724,3120.655,1523.9299999999998
2024-01-12 12:00:00+00:00,-600.194,4296.737,3696.545
2024-01-12 13:00:00+00:00,-1052.387,6581.073,5528.689
2024-01-12 14:00:00+00:00,-3812.888,3013.8,-799.087
2024-01-12 15:00:00+00:00,-2500.8340000000003,2259.2690000000002,-241.567
2024-01-12 16:00:00+00:00,-2954.09,2214.11,-739.98
2024-01-12 17:00:00+00:00,-3802.739,2218.527,-1584.211
2024-01-12 18:00:00+00:00,-3039.429,1797.663,-1241.7649999999999
2024-01-12 19:00:00+00:00,-2475.096,1913.92,-561.1750000000001
2024-01-12 20:00:00+00:00,-4021.142,1942.074,-2079.067
2024-01-12 21:00:00+00:00,-3701.151,2590.515,-1110.634
2024-01-12 22:00:00+00:00,-1813.039,3201.9,1388.86
2024-01-12 23:00:00+00:00,-517.774,8418.435,7900.661
2024-01-13 00:00:00+00:00,-1644.242,8469.96,6825.719
2024-01-13 01:00:00+00:00,-651.704,6627.002,5975.299
2024-01-13 02:00:00+00:00,-2310.41,4304.455,1994.047
2024-01-13 03:00:00+00:00,-956.453,3514.5299999999997,2558.076
2024-01-13 04:00:00+00:00,-2851.895,561.624,-2290.272
2024-01-13 05:00:00+00:00,-5902.807,382.16700000000003,-5520.639
2024-01-13 06:00:00+00:00,-2345.734,742.059,-1603.676
2024-01-13 07:00:00+00:00,-4014.495,544.771,-3469.724
2024-01-13 08:00:00+00:00,-5865.418,578.788,-5286.631
2024-01-13 09:00:00+00:00,-2111.416,1021.952,-1089.462
2024-01-13 10:00:00+00:00,-1608.963,811.4010000000001,-797.565
2024-01-13 11:00:00+00:00,-1303.717,967.689,-336.029
2024-01-13 12:00:00+00:00,-1144.77,2142.078,997.308
2024-01-13 13:00:00+00:00,-816.992,2137.007,1320.0149999999999
2024-01-13 14:00:00+00:00,-3046.102,693.331,-2352.774
2024-01-13 15:00:00+00:00,-3826.173,1679.579,-2146.597
2024-01-13 16:00:00+00:00,-4077.2509999999997,1112.091,-2965.161
2024-01-13 17:00:00+00:00,-3585.525,2156.734,-1428.79
2024-01-13 18:00:00+00:00,-2924.757,1073.973,-1850.786
2024-01-13 19:00:00+00:00,-2677.975,1078.2,-1599.7730000000001
2024-01-13 20:00:00+00:00,-3715.009,1231.125,-2483.884
2024-01-13 21:00:00+00:00,-2230.943,562.971,-1667.971
2024-01-13 22:00:00+00:00,-1547.761,776.604,-771.157
2024-01-13 23:00:00+00:00,-762.923,1841.52,1078.598
2024-01-14 00:00:00+00:00,-1186.858,1570.316,383.45400000000006
2024-01-14 01:00:00+00:00,-1995.628,756.049,-1239.578
2024-01-14 02:00:00+00:00,-1401.953,793.127,-608.827
2024-01-14 03:00:00+00:00,-911.828,885.591,-26.23299999999999
2024-01-14 04:00:00+00:00,-1057.3690000000001,661.795,-395.574
2024-01-14 05:00:00+00:00,-1076.7649999999999,490.10400000000004,-586.66
2024-01-14 06:00:00+00:00,-1189.921,602.079,-587.841
2024-01-14 07:00:00+00:00,-1032.044,658.0310000000001,-374.012
2024-01-14 08:00:00+00:00,-370.466,982.775,612.311
